"","Array","Species","ID","Location","Order","Trial","Session"
"378","Zarray","Japanese macaque","Rudy","1012",7,12,1
"379","Zarray","Japanese macaque","Rudy","2",1,13,2
"380","Zarray","Japanese macaque","Rudy","3",2,13,2
"381","Zarray","Japanese macaque","Rudy","4",3,13,2
"382","Zarray","Japanese macaque","Rudy","1",4,13,2
"383","Zarray","Japanese macaque","Rudy","5",5,13,2
"384","Zarray","Japanese macaque","Rudy","6",6,13,2
"385","Zarray","Japanese macaque","Rudy","1013",7,13,2
"386","Zarray","Japanese macaque","Rudy","6",1,14,2
"387","Zarray","Japanese macaque","Rudy","4",2,14,2
"388","Zarray","Japanese macaque","Rudy","3",3,14,2
"389","Zarray","Japanese macaque","Rudy","2",4,14,2
"390","Zarray","Japanese macaque","Rudy","1",5,14,2
"391","Zarray","Japanese macaque","Rudy","5",6,14,2
"392","Zarray","Japanese macaque","Rudy","1014",7,14,2
"393","Zarray","Japanese macaque","Rudy","2",1,15,2
"394","Zarray","Japanese macaque","Rudy","3",2,15,2
"395","Zarray","Japanese macaque","Rudy","4",3,15,2
"396","Zarray","Japanese macaque","Rudy","1",4,15,2
"397","Zarray","Japanese macaque","Rudy","5",5,15,2
"398","Zarray","Japanese macaque","Rudy","6",6,15,2
"399","Zarray","Japanese macaque","Rudy","1015",7,15,2
"400","Zarray","Japanese macaque","Rudy","6",1,16,2
"401","Zarray","Japanese macaque","Rudy","4",2,16,2
"402","Zarray","Japanese macaque","Rudy","3",3,16,2
"403","Zarray","Japanese macaque","Rudy","2",4,16,2
"404","Zarray","Japanese macaque","Rudy","1",5,16,2
"405","Zarray","Japanese macaque","Rudy","5",6,16,2
"406","Zarray","Japanese macaque","Rudy","1016",7,16,2
"407","Zarray","Japanese macaque","Rudy","6",1,17,2
"408","Zarray","Japanese macaque","Rudy","4",2,17,2
"409","Zarray","Japanese macaque","Rudy","3",3,17,2
"410","Zarray","Japanese macaque","Rudy","2",4,17,2
"411","Zarray","Japanese macaque","Rudy","1",5,17,2
"412","Zarray","Japanese macaque","Rudy","5",6,17,2
"413","Zarray","Japanese macaque","Rudy","1017",7,17,2
"414","Zarray","Japanese macaque","Rudy","6",1,18,2
"415","Zarray","Japanese macaque","Rudy","5",2,18,2
"416","Zarray","Japanese macaque","Rudy","4",3,18,2
"417","Zarray","Japanese macaque","Rudy","3",4,18,2
"418","Zarray","Japanese macaque","Rudy","2",5,18,2
"419","Zarray","Japanese macaque","Rudy","1",6,18,2
"420","Zarray","Japanese macaque","Rudy","1018",7,18,2
"421","Zarray","Japanese macaque","Rudy","2",1,19,2
"422","Zarray","Japanese macaque","Rudy","1",2,19,2
"423","Zarray","Japanese macaque","Rudy","3",3,19,2
"424","Zarray","Japanese macaque","Rudy","4",4,19,2
"425","Zarray","Japanese macaque","Rudy","5",5,19,2
"426","Zarray","Japanese macaque","Rudy","6",6,19,2
"427","Zarray","Japanese macaque","Rudy","1019",7,19,2
"428","Zarray","Japanese macaque","Rudy","6",1,20,2
"429","Zarray","Japanese macaque","Rudy","5",2,20,2
"430","Zarray","Japanese macaque","Rudy","4",3,20,2
"431","Zarray","Japanese macaque","Rudy","3",4,20,2
"432","Zarray","Japanese macaque","Rudy","2",5,20,2
"433","Zarray","Japanese macaque","Rudy","1",6,20,2
"434","Zarray","Japanese macaque","Rudy","1020",7,20,2
"435","Zarray","Japanese macaque","Rudy","6",1,21,3
"436","Zarray","Japanese macaque","Rudy","4",2,21,3
"437","Zarray","Japanese macaque","Rudy","3",3,21,3
"438","Zarray","Japanese macaque","Rudy","2",4,21,3
"439","Zarray","Japanese macaque","Rudy","1",5,21,3
"440","Zarray","Japanese macaque","Rudy","5",6,21,3
"441","Zarray","Japanese macaque","Rudy","1021",7,21,3
"442","Zarray","Japanese macaque","Rudy","2",1,22,4
"443","Zarray","Japanese macaque","Rudy","3",2,22,4
"444","Zarray","Japanese macaque","Rudy","4",3,22,4
