Array,Species,ID,Trial,Session,Dist (m),**Sessions cut off at <2 hours between successive trials.,,,
DT,Vervet,NM,543216,6,,,,,
DT,Vervet,NM,612453,6,,,,,
DT,Vervet,NM,341265,7,,,,,
DT,Vervet,NM,124536,7,,,,,
DT,Vervet,NM,543126,8,,,,,
DT,Vervet,NM,345612,8,,,,,
DT,Vervet,NM,5434126,9,,,,,
DT,Vervet,NM,543216,10,,,,,
DT,Vervet,NM,543216,10,,,,,
DT,Vervet,NM,543126,10,,,,,
DT,Vervet,NM,561243,11,,,,,
DT,Vervet,NM,543126,11,,,,,
DT,Vervet,NM,345126,12,,,,,
DT,Vervet,NM,345126,12,,,,,
DT,Vervet,NM,216543,12,,,,,
DT,Vervet,NM,216543,12,,,,,
DT,Vervet,NM,543216,13,,,,,
DT,Vervet,NM,124356,13,,,,,
DT,Vervet,NM,612453,13,,,,,
DT,Vervet,NM,341265,14,,,,,
DT,Vervet,NM,543126,15,,,,,
DT,Vervet,NM,612435,15,,,,,
DT,Vervet,NM,543216,16,,,,,
DT,Vervet,NM,543216,16,,,,,
DT,Vervet,NM,612453,16,,,,,
DT,Vervet,NM,341265,17,,,,,
DT,Vervet,NM,612453,18,,,,,
DT,Vervet,NM,543126,18,,,,,
DT,Vervet,NM,543216,18,,,,,
DT,Vervet,NM,543126,19,,,,,
DT,Vervet,NM,543126,19,,,,,
DT,Vervet,NM,543126,19,,,,,
DT,Vervet,NM,543216,19,,,,,
DT,Vervet,NM,543216,20,,,,,
DT,Vervet,NM,543216,20,,,,,
DT,Vervet,NM,543216,20,,,,,
DT,Vervet,NM,543216,21,,,,,
DT,Vervet,NM,543216,21,,,,,
DT,Vervet,NM,541263,21,,,,,
DT,Vervet,NM,543126,21,,,,,
DT,Vervet,NM,54321,21,,,,,
DT,Vervet,NM,54321,21,,,,,
DT,Vervet,NM,54123,21,,,,,
DT,Vervet,NM,345612,22,,,,,
DT,Vervet,NM,543216,22,,,,,
DT,Vervet,NM,543126,23,,,,,
DT,Vervet,NM,543216,23,,,,,
DT,Vervet,NM,345126,24,,,,,
DT,Vervet,NM,612453,24,,,,,
DT,Vervet,NM,5434126,25,,,,,
DT,Vervet,NM,612435,25,,,,,
DT,Vervet,NM,654312,25,,,,,
DT,Vervet,NM,543126,25,,,,,
DT,Vervet,NM,612435,25,,,,,
DT,Vervet,NM,345612,26,,,,,
DT,Vervet,NM,345612,26,,,,,
DT,Vervet,NM,345126,26,,,,,
DT,Vervet,NM,345126,26,,,,,
DT,Vervet,NM,345612,26,,,,,
DT,Vervet,NM,341256,26,,,,,
DT,Vervet,NM,543216,27,,,,,
DT,Vervet,NM,543216,27,,,,,
DT,Vervet,NM,543216,27,,,,,
DT,Vervet,NM,561243,27,,,,,
DT,Vervet,NM,543126,27,,,,,
DT,Vervet,NM,432165,28,,,,,
DT,Vervet,NM,543126,28,,,,,
DT,Vervet,NM,543216,28,,,,,
DT,Vervet,NM,543126,28,,,,,
DT,Vervet,NM,543216,29,,,,,
DT,Vervet,NM,345126,29,,,,,
DT,Vervet,NM,543216,30,,,,,
DT,Vervet,NM,543126,30,,,,,
DT,Vervet,NM,543216,30,,,,,
DT,Vervet,NM,543216,30,,,,,
DT,Vervet,NM,543216,30,,,,,
DT,Vervet,NM,543216,30,,,,,
DT,Vervet,NM,543126,31,,,,,
DT,Vervet,NM,543216,31,,,,,
DT,Vervet,NM,543216,31,,,,,
DT,Vervet,NM,543216,31,,,,,
DT,Vervet,NM,345612,32,,,,,
DT,Vervet,NM,12456,33,,,,,
DT,Vervet,NM,12456,33,,,,,
DT,Vervet,NM,61245,33,,,,,
DT,Vervet,NM,612435,33,,,,,
DT,Vervet,NM,543216,34,,,,,
DT,Vervet,NM,216543,35,,,,,
DT,Vervet,NM,543216,36,,,,,
DT,Vervet,NM,543216,36,,,,,
DT,Vervet,NM,543216,36,,,,,
DT,Vervet,NM,124356,36,,,,,
DT,Vervet,NM,543126,36,,,,,
DT,Vervet,NM,543216,36,,,,,
DT,Vervet,NM,543216,37,,,,,
DT,Vervet,NM,543126,37,,,,,
DT,Vervet,NM,543216,37,,,,,
DT,Vervet,NM,543216,37,,,,,
DT,Vervet,NM,543216,38,,,,,
DT,Vervet,NM,543216,39,,,,,
DT,Vervet,NM,543216,39,,,,,
DT,Vervet,NM,543216,39,,,,,
DT,Vervet,NM,541236,40,,,,,
DT,Vervet,NM,543216,40,,,,,
DT,Vervet,NM,543216,40,,,,,
DT,Vervet,NM,214563,41,,,,,
DT,Vervet,NM,543216,42,,,,,
DT,Vervet,NM,543216,42,,,,,
DT,Vervet,NM,543216,42,,,,,
DT,Vervet,NM,543216,43,,,,,
DT,Vervet,NM,543216,43,,,,,
DT,Vervet,NM,543216,43,,,,,
DT,Vervet,NM,543216,43,,,,,
DT,Vervet,NM,543216,43,,,,,
DT,Vervet,NM,543216,43,,,,,
DT,Vervet,NM,345126,44,,,,,
DT,Vervet,NM,453216,44,,,,,
DT,Vervet,NM,435126,44,,,,,
DT,Vervet,NM,543126,44,,,,,
DT,Vervet,NM,124563,44,,,,,
DT,Vervet,NM,456123,44,,,,,
DT,Vervet,NM,216543,44,,,,,
DT,Vervet,NM,345126,44,,,,,
DT,Vervet,NM,435126,45,,,,,
DT,Vervet,NM,543216,45,,,,,
DT,Vervet,NM,543126,45,,,,,
DT,Vervet,NM,543126,45,,,,,
DT,Vervet,NM,543126,46,,,,,
DT,Vervet,NM,543216,46,,,,,
DT,Vervet,NM,543216,46,,,,,
DT,Vervet,NM,543216,46,,,,,
DT,Vervet,NM,543216,46,,,,,
DT,Vervet,NM,543126,46,,,,,
DT,Vervet,NM,543216,46,,,,,
DT,Vervet,NM,5412346,46,,,,,
DT,Vervet,NM,543216,46,,,,,
DT,Vervet,NM,543126,46,,,,,
DT,Vervet,NM,543126,46,,,,,
DT,Vervet,NM,341265,47,,,,,
DT,Vervet,NM,612435,47,,,,,
DT,Vervet,NM,124563,47,,,,,
DT,Vervet,NM,612453,47,,,,,
DT,Vervet,NM,612435,47,,,,,
DT,Vervet,NM,612453,47,,,,,
DT,Vervet,NM,543126,48,,,,,
DT,Vervet,NM,543126,49,,,,,
DT,Vervet,NM,543126,49,,,,,
DT,Vervet,OT,543216,1,,,,,
DT,Vervet,OT,541236,2,,,,,
DT,Vervet,PT,54216,1,,,,,
DT,Vervet,PT,5214,1,,,,,
DT,Vervet,TB,345126,1,,,,,
DT,Vervet,TB,543216,2,,,,,
DT,Vervet,TS,456123,1,,,,,
DT,Vervet,TS,543216,2,,,,,
DT,Vervet,TS,34512,2,,,,,
DT,Vervet,TS,612453,3,,,,,
DT,Vervet,TS,261453,4,,,,,
DT,Vervet,TS,456123,5,,,,,
DT,Vervet,TS,214563,5,,,,,
DT,Vervet,TS,124356,6,,,,,
DT,Vervet,TS,124563,6,,,,,
DT,Vervet,TS,612453,7,,,,,
DT,Vervet,TS,543216,7,,,,,
DT,Vervet,TS,41652,7,,,,,
DT,Vervet,TS,612435,7,,,,,
DT,Vervet,TS,432165,7,,,,,
Pentagon,Vervet,CL,5234,1,,,,,
Pentagon,Vervet,GR,54321,1,,,,,
Pentagon,Vervet,JK,54321,1,,,,,
Pentagon,Vervet,JK,54321,1,,,,,
Pentagon,Vervet,JK,54321,1,,,,,
Pentagon,Vervet,JK,54321,1,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,34512,2,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,51234,2,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,51234,2,,,,,
Pentagon,Vervet,JK,12345,3,,,,,
Pentagon,Vervet,JK,54321,3,,,,,
Pentagon,Vervet,JK,54321,3,,,,,
Pentagon,Vervet,JK,54321,3,,,,,
Pentagon,Vervet,JK,54321,3,,,,,
Pentagon,Vervet,JK,23154,4,,,,,
Pentagon,Vervet,JK,45123,4,,,,,
Pentagon,Vervet,JK,51234,5,,,,,
Pentagon,Vervet,JK,54321,5,,,,,
Pentagon,Vervet,JK,54321,5,,,,,
Pentagon,Vervet,JK,43215,5,,,,,
Pentagon,Vervet,JK,54321,6,,,,,
Pentagon,Vervet,JK,51234,6,,,,,
Pentagon,Vervet,JK,12345,6,,,,,
Pentagon,Vervet,JK,54321,6,,,,,
Pentagon,Vervet,JK,12345,6,,,,,
Pentagon,Vervet,JK,54321,6,,,,,
Pentagon,Vervet,JK,51234,6,,,,,
Pentagon,Vervet,JK,51234,6,,,,,
Pentagon,Vervet,JK,54321,6,,,,,
Pentagon,Vervet,JK,45123,6,,,,,
Pentagon,Vervet,JK,51234,6,,,,,
Pentagon,Vervet,JK,51234,6,,,,,
Pentagon,Vervet,JK,54321,6,,,,,
Pentagon,Vervet,JK,12345,6,,,,,
Pentagon,Vervet,JK,54321,6,,,,,
Pentagon,Vervet,JK,1532,6,,,,,
Pentagon,Vervet,JK,15432,6,,,,,
Pentagon,Vervet,JK,51234,7,,,,,
Pentagon,Vervet,JK,41235,7,,,,,
Pentagon,Vervet,JK,41532,7,,,,,
Pentagon,Vervet,NM,43215,1,,,,,
Pentagon,Vervet,NM,51234,1,,,,,
Pentagon,Vervet,NM,51234,1,,,,,
Pentagon,Vervet,NM,51234,1,,,,,
Pentagon,Vervet,NM,51234,1,,,,,
Pentagon,Vervet,NM,54321,1,,,,,
Pentagon,Vervet,NM,54321,1,,,,,
Pentagon,Vervet,NM,54321,1,,,,,
Pentagon,Vervet,NM,54321,1,,,,,
Pentagon,Vervet,NM,43215,1,,,,,
Pentagon,Vervet,NM,51234,2,,,,,
Pentagon,Vervet,NM,12345,3,,,,,
Pentagon,Vervet,NM,54321,3,,,,,
Pentagon,Vervet,NM,54321,3,,,,,
Pentagon,Vervet,NM,15432,3,,,,,
Pentagon,Vervet,NM,15432,3,,,,,
Pentagon,Vervet,NM,12345,3,,,,,
Pentagon,Vervet,NM,12345,3,,,,,
Pentagon,Vervet,NM,12345,3,,,,,
Pentagon,Vervet,NM,12345,3,,,,,
Pentagon,Vervet,NM,54321,3,,,,,
Pentagon,Vervet,NM,51234,4,,,,,
Pentagon,Vervet,NM,43215,4,,,,,
Pentagon,Vervet,NM,43215,4,,,,,
Pentagon,Vervet,NM,45123,4,,,,,
Pentagon,Vervet,NM,34512,4,,,,,
Pentagon,Vervet,NM,43215,5,,,,,
Pentagon,Vervet,NM,43215,5,,,,,
Pentagon,Vervet,NM,43215,5,,,,,
Pentagon,Vervet,NM,43215,5,,,,,
Pentagon,Vervet,NM,23451,5,,,,,
Pentagon,Vervet,NM,43215,5,,,,,
Pentagon,Vervet,NM,43215,5,,,,,
Pentagon,Vervet,TS,12354,1,,,,,
Pentagon,Vervet,TS,23154,1,,,,,
Pentagon,Vervet,TS,32145,2,,,,,
Pentagon,Vervet,TS,4123,2,,,,,
Pentagon,Vervet,TS,43215,2,,,,,
Pentagon,Vervet,TS,43215,2,,,,,
Pentagon,Vervet,TS,32154,2,,,,,
Pentagon,Vervet,TS,23451,2,,,,,
Pentagon,Vervet,TS,42351,2,,,,,
Pentagon,Vervet,TS,45123,2,,,,,
Pentagon,Vervet,AS,42315,1,,,,,
Pentagon,Vervet,AS,45123,1,,,,,
Pentagon,Vervet,AS,45123,1,,,,,
Pentagon,Vervet,AS,45123,1,,,,,
Pentagon,Vervet,AS,45123,1,,,,,
Pentagon,Vervet,CM,12345,1,,,,,
Pentagon,Vervet,CM,12345,1,,,,,
Pentagon,Vervet,CM,5421,1,,,,,
Pentagon,Vervet,CM,12345,1,,,,,
Pentagon,Vervet,CR,43215,1,,,,,
Pentagon,Vervet,CT,15432,1,,,,,
Pentagon,Vervet,CT,21543,2,,,,,
Pentagon,Vervet,CT,32154,2,,,,,
Pentagon,Vervet,CT,45123,2,,,,,
Pentagon,Vervet,CT,54321,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,CT,15432,3,,,,,
Pentagon,Vervet,JK,54321,1,,,,,
Pentagon,Vervet,JK,45123,1,,,,,
Pentagon,Vervet,JK,51234,1,,,,,
Pentagon,Vervet,JK,432,2,,,,,
Pentagon,Vervet,JK,32154,2,,,,,
Pentagon,Vervet,JK,32154,3,,,,,
Pentagon,Vervet,JL,12345,1,,,,,
Pentagon,Vervet,JL,34512,1,,,,,
Pentagon,Vervet,JL,45123,1,,,,,
Pentagon,Vervet,JM,45123,1,,,,,
Pentagon,Vervet,JV,43215,1,,,,,
Pentagon,Vervet,JV,51234,1,,,,,
Pentagon,Vervet,JV,45123,1,,,,,
Pentagon,Vervet,JV,34512,2,,,,,
Pentagon,Vervet,KW,12345,1,,,,,
Pentagon,Vervet,KW,43215,2,,,,,
Pentagon,Vervet,KW,45123,2,,,,,
Pentagon,Vervet,KW,43,2,,,,,
Pentagon,Vervet,KW,45123,2,,,,,
Pentagon,Vervet,KW,54321,2,,,,,
Pentagon,Vervet,LK,21543,1,,,,,
Pentagon,Vervet,LK,21543,1,,,,,
Pentagon,Vervet,LK,21543,1,,,,,
Pentagon,Vervet,LK,12345,2,,,,,
Pentagon,Vervet,LK,12345,2,,,,,
Pentagon,Vervet,LK,15234,3,,,,,
Pentagon,Vervet,LK,34512,3,,,,,
Pentagon,Vervet,ML,15234,1,,,,,
Pentagon,Vervet,ML,51234,1,,,,,
Pentagon,Vervet,ML,15432,2,,,,,
Pentagon,Vervet,ML,43215,3,,,,,
Pentagon,Vervet,ML,34512,3,,,,,
Pentagon,Vervet,ML,32154,3,,,,,
Pentagon,Vervet,OT,23451,1,,,,,
Pentagon,Vervet,PM,54321,1,,,,,
