"","ID","Array","DET","Species","Source"
"1300","2168","Zarray",0.253207869974337,"None","Learning_Factor1"
"1301","2169","Zarray",0.24367816091954,"None","Learning_Factor1"
"1302","217","DT",0.451424112368318,"None","Learning_Factor2"
"1303","2170","Zarray",0.269961977186312,"None","Learning_Factor1"
"1304","2171","Zarray",0.270637408568443,"None","Learning_Factor1"
"1305","2172","Zarray",0.235573122529644,"None","Learning_Factor1"
"1306","2173","Zarray",0.327361563517915,"None","Learning_Factor1"
"1307","2174","Zarray",0.368596881959911,"None","Learning_Factor1"
"1308","2175","Zarray",0.30230708035004,"None","Learning_Factor1"
"1309","2176","Zarray",0.282216494845361,"None","Learning_Factor1"
"1310","2177","Zarray",0.282428702851886,"None","Learning_Factor1"
"1311","2178","Zarray",0.290760869565218,"None","Learning_Factor1"
"1312","2179","Zarray",0.306297709923664,"None","Learning_Factor1"
"1313","218","DT",0.379456193353474,"None","Learning_Factor2"
"1314","2180","Zarray",0.282631038026722,"None","Learning_Factor1"
"1315","2181","Zarray",0.256327060350422,"None","Learning_Factor1"
"1316","2182","Zarray",0.219653179190751,"None","Learning_Factor1"
"1317","2183","Zarray",0.284919028340081,"None","Learning_Factor1"
"1318","2184","Zarray",0.286691215149921,"None","Learning_Factor1"
"1319","2185","Zarray",0.269527896995708,"None","Learning_Factor1"
"1320","2186","Zarray",0.241347053320861,"None","Learning_Factor1"
"1321","2187","Zarray",0.298245614035088,"None","Learning_Factor1"
"1322","2188","Zarray",0.317482517482517,"None","Learning_Factor1"
